DSX_Opponent,Opponent_of_Opponent
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Sporting Columbus Sporting Columbus Boys 2018 II
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Delaware Knights Delaware Knights 2018 BU08
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Columbus Force SC CE 2018B Net Ninjas
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Johnstown FC Johnstown FC 2018 Boys
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Upper Arlington United UAU 2018 BU U8 BLACK
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Elite FC Elite FC 2018 Boys Liverpool
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,LFC United LFC United 2018 B Elite
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Club Ohio Club Ohio West 18B Academy II
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Northwest FC Northwest FC 2018B Academy Blue
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Dublin United Soccer Club DUSC Sharks 2018 Boys
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Grove City Kids Association GCKA 2018B
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Elite FC Elite FC 2018 Boys Tottenham
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,LFC United LFC United 2018 B Elite 2
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Pride Soccer Club Pride SC 2019/2018 Boys Copa
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys
